seq,timestamp,stage,stage_description,component,kind,phase,summary
1,2026-05-28T17:57:27.650451+00:00,run_initialized,"Run directory, ids, and top-level execution context were initialized.",agentbench_runner,workflow,,"Run directory, ids, and top-level execution context were initialized."
2,2026-05-28T17:57:27.650613+00:00,task_retrieved,"The sample task was loaded from SWE-bench, CSV, or JSON into AgentBench.",agentbench_runner,task_state,,"The sample task was loaded from SWE-bench, CSV, or JSON into AgentBench."
3,2026-05-28T17:57:27.894327+00:00,auto_repo_checkout_evaluated,The harness decided whether to infer and materialize the task repository automatically.,workspace_manager,workspace,,The harness decided whether to infer and materialize the task repository automatically.
4,2026-05-28T17:57:27.910267+00:00,workspace_prepared,The writable workspace or shared checkout was prepared for the task run.,workspace_manager,workspace,,The writable workspace or shared checkout was prepared for the task run.
5,2026-05-28T17:57:27.910987+00:00,workspace_path_attached_to_task,The resolved workspace path was attached back onto the task payload.,workspace_manager,task_state,,The resolved workspace path was attached back onto the task payload.
6,2026-05-28T17:57:27.912793+00:00,workflow_invocation_started,The outer runner began the handoff into the Deep Agents workflow.,agentbench_runner,workflow,,The outer runner began the handoff into the Deep Agents workflow.
7,2026-05-28T17:57:27.914843+00:00,task_workflow_started,The app-layer multi-step workflow started for this task.,deepagents_app,workflow,,The app-layer multi-step workflow started for this task.
8,2026-05-28T17:57:27.916564+00:00,task_prompt_built,The canonical task prompt was constructed from the task payload.,prompt_builder,prompt,,The canonical task prompt was constructed from the task payload. Prompt preview: You are working on one SWE-bench Pro software engineering task. Task metadata: - instance_id: instance_NodeBB__NodeBB-04998908ba6721d64eb...
9,2026-05-28T17:57:27.918296+00:00,workflow_hints_resolved,Base Dynamo and agent hints were resolved for the workflow.,deepagents_app,hints,,Base Dynamo and agent hints were resolved for the workflow.
10,2026-05-28T17:57:27.920130+00:00,baseline_agent_request_prepared,A single upstream-style baseline request context and hints were prepared.,deepagents_app,request_context,baseline_execution,A single upstream-style baseline request context and hints were prepared.
11,2026-05-28T17:57:27.921992+00:00,baseline_agent_system_prompt_loaded,The Deep Agents system and app instructions were loaded for the baseline agent invocation.,prompt_builder,prompt_context,baseline_execution,The Deep Agents system and app instructions were loaded for the baseline agent invocation.
