run_id,model,app_variant,run_hint_profile,phase,phase_request_id,subrequest_index,runtime_context_id,sglang_request_id,external_request_id,request_received_timestamp,request_attached_timestamp,request_completed_timestamp,ttft_ms,request_received_to_completed_ms,prompt_tokens,completion_tokens,cached_token_count,recomputed_prefix_tokens,cache_hit,cache_reuse_ratio,hint_priority,hint_reuse_likelihood,hint_latency_sensitivity,hint_expected_output_tokens,hint_agent_phase,hint_profile,hint_probe_id,transfer_request_id_matched,transfer_event_count_for_request,transfer_request_id_source,transfer_device_to_host_kv_mb_for_request,transfer_host_to_device_kv_mb_for_request,transfer_cuda_sync_ms_for_request,transfer_has_device_to_host_for_request,transfer_has_host_to_device_for_request,transfer_time_window_matched,transfer_event_count_for_time_window,transfer_time_window_source,transfer_device_to_host_kv_mb_for_time_window,transfer_host_to_device_kv_mb_for_time_window,transfer_cuda_sync_ms_for_time_window,transfer_has_device_to_host_for_time_window,transfer_has_host_to_device_for_time_window
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,planning,agentbench-nodebb_20260602_160017::planning::0,0,f8c002a6-21f6-4506-b2e9-59430de8a522,0c25e5746ccb445ebb0e7d850aa4505e,agentbench-nodebb_20260602_160017::planning::0,2026-06-02T21:00:18.158691Z,2026-06-02T21:00:18.202094Z,2026-06-02T21:00:29.063196Z,43.403,10904.505000000001,10062,325,10048,14,True,0.9986086265156032,5,1.0,0.5,768,planning,high-reuse,agentbench-nodebb_20260602_160017::planning::0,True,1,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,3.5,0.0,32.046479,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,execution,agentbench-nodebb_20260602_160017::execution::0,0,debe66a0-eb3a-4d66-925e-c84b071f6045,0eafb572d47c4a22ac64fa3cb58d4618,agentbench-nodebb_20260602_160017::execution::0,2026-06-02T21:00:29.250046Z,2026-06-02T21:00:29.782363Z,2026-06-02T21:00:33.968903Z,532.317,4718.857,10404,126,8896,1508,True,0.8550557477893118,5,1.0,0.5,2048,execution,high-reuse,agentbench-nodebb_20260602_160017::execution::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,87.5,0.0,93.429315,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,execution,agentbench-nodebb_20260602_160017::execution::0,1,55194f6d-d79e-49c4-9060-b78d2ba40649,63b62ab1fcbe4879bbc695eaff954044,agentbench-nodebb_20260602_160017::execution::0,2026-06-02T21:00:34.131018Z,2026-06-02T21:00:34.240148Z,2026-06-02T21:00:36.284241Z,109.13000000000001,2153.223,10598,62,10432,166,True,0.9843366672957162,5,1.0,0.5,2048,execution,high-reuse,agentbench-nodebb_20260602_160017::execution::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,10.5,0.0,66.239998,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,execution,agentbench-nodebb_20260602_160017::execution::0,2,9b1e5568-c8dc-4842-9716-e3bcc152ba1f,2770d6cb1b094719abe97ba9189d7ce4,agentbench-nodebb_20260602_160017::execution::0,2026-06-02T21:00:36.433541Z,2026-06-02T21:00:36.568452Z,2026-06-02T21:00:38.613097Z,134.911,2179.556,10761,62,10560,201,True,0.9813214385280179,5,1.0,0.5,2048,execution,high-reuse,agentbench-nodebb_20260602_160017::execution::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,14.0,0.0,66.848593,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,execution,agentbench-nodebb_20260602_160017::execution::0,3,54c6605f-f20e-45d1-b3fe-60f1de734de8,3d49b9739824428a9c0ffc343aec5d1e,agentbench-nodebb_20260602_160017::execution::0,2026-06-02T21:00:38.770618Z,2026-06-02T21:00:39.226679Z,2026-06-02T21:00:41.278907Z,456.061,2508.289,11952,62,10752,1200,True,0.8995983935742972,5,1.0,0.5,2048,execution,high-reuse,agentbench-nodebb_20260602_160017::execution::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,66.5,0.0,86.102361,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,execution,agentbench-nodebb_20260602_160017::execution::0,4,4948f5a9-617a-4e4b-9556-3344add4a407,d94f888f976342d7af8d7219054e1846,agentbench-nodebb_20260602_160017::execution::0,2026-06-02T21:00:41.457040Z,2026-06-02T21:00:41.924162Z,2026-06-02T21:00:49.389490Z,467.12199999999996,7932.45,13150,222,11968,1182,True,0.9101140684410647,5,1.0,0.5,2048,execution,high-reuse,agentbench-nodebb_20260602_160017::execution::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,73.5,0.0,88.155358,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,patch_generation,agentbench-nodebb_20260602_160017::patch_generation::0,0,5ccdbf5c-c57f-4649-8e24-63aa1d7ce2f0,c481c5a9f15742aba53cf0dba477e02b,agentbench-nodebb_20260602_160017::patch_generation::0,2026-06-02T21:00:49.547069Z,2026-06-02T21:00:49.822711Z,2026-06-02T21:00:57.384557Z,275.642,7837.487999999999,9166,228,8512,654,True,0.928649356316823,5,1.0,0.5,1024,patch_generation,high-reuse,agentbench-nodebb_20260602_160017::patch_generation::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,45.5,0.0,78.63994,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,patch_generation,agentbench-nodebb_20260602_160017::patch_generation::0,1,5af382ef-584b-43d2-a277-d70c71b78007,acfcd23448454bd98974ae011335596c,agentbench-nodebb_20260602_160017::patch_generation::0,2026-06-02T21:00:57.523457Z,2026-06-02T21:00:57.704370Z,2026-06-02T21:00:58.873409Z,180.91299999999998,1349.952,9513,36,9152,361,True,0.9620519289393462,5,1.0,0.5,1024,patch_generation,high-reuse,agentbench-nodebb_20260602_160017::patch_generation::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,21.0,0.0,69.35925800000001,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,review,agentbench-nodebb_20260602_160017::review::0,0,782634d3-899d-4a23-b22d-213103a11106,9f5ef59578b947b992f4953595a08699,agentbench-nodebb_20260602_160017::review::0,2026-06-02T21:00:59.030874Z,2026-06-02T21:00:59.306894Z,2026-06-02T21:01:05.371166Z,276.02,6340.2919999999995,9199,183,8512,687,True,0.925317969344494,5,1.0,0.5,1024,review,high-reuse,agentbench-nodebb_20260602_160017::review::0,True,2,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,45.5,0.0,77.977143,True,False,,,,,,,,
agentbench-nodebb_20260602_160017,Qwen/Qwen2.5-Coder-7B-Instruct,upstream_deploy_coding_agent,high-reuse,review,agentbench-nodebb_20260602_160017::review::0,1,f20de966-6453-4ad2-a054-0acfd691d618,c18338c25c64406bb0a64f556713a76f,agentbench-nodebb_20260602_160017::review::0,2026-06-02T21:01:05.523812Z,2026-06-02T21:01:05.740913Z,2026-06-02T21:01:06.876470Z,217.101,1352.658,9546,36,9152,394,True,0.9587261680284936,5,1.0,0.5,1024,review,high-reuse,agentbench-nodebb_20260602_160017::review::0,True,1,sglang_transfer_event.request_id/external_request_id/runtime_context_id/sglang_request_id/hint_probe_id,21.0,0.0,38.690515,True,False,,,,,,,,
