phase,decision_type,agent_component,runtime_component,agent_side_decision,runtime_side_response,evidence,alignment_judgment,agreement_status,worker_id,ttft_ms,decode_ms,end_to_end_ms
planning,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observation for this request was not found.,frontend_event_found=False; worker_observation_found=False; request_id=agentbench-nodebb_20260527_131235::planning::0; worker_id=-,"Agent request was recorded, but frontend routing evidence is missing.",insufficient_evidence,,,,81913.592
planning,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,No tool parser observation was found in frontend runtime logs.,tool_parser_observed=False; parsers=-; tool_call_count=40,"Tool-capable execution was expected, but runtime parser evidence is missing.",insufficient_evidence,,,,81913.592
planning,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: grep, ls.","Runtime returned tool results for: grep, ls.","tool_call_count=40; tool_calls=grep, ls; tool_results=grep, ls",Agent tool-use decisions aligned with runtime tool execution.,agreed,,,,81913.592
planning,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker activity was not observed.,prefill_seen=False; decode_seen=False; cached_token_count=10176; recomputed_prefix_tokens=1499,Runtime execution evidence is too weak to confirm worker-side execution details.,insufficient_evidence,,,,81913.592
planning,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ### Step-by-Step Implementation Plan 1. **Understand the Repository Structure:** - The repositor...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,,,,81913.592
execution,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observation for this request was not found.,frontend_event_found=False; worker_observation_found=False; request_id=agentbench-nodebb_20260527_131235::execution::0; worker_id=-,"Agent request was recorded, but frontend routing evidence is missing.",insufficient_evidence,,,,120105.719
execution,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,No tool parser observation was found in frontend runtime logs.,tool_parser_observed=False; parsers=-; tool_call_count=40,"Tool-capable execution was expected, but runtime parser evidence is missing.",insufficient_evidence,,,,120105.719
execution,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: grep, ls.","Runtime returned tool results for: grep, ls.","tool_call_count=40; tool_calls=grep, ls; tool_results=grep, ls",Agent tool-use decisions aligned with runtime tool execution.,agreed,,,,120105.719
execution,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker activity was not observed.,prefill_seen=False; decode_seen=False; cached_token_count=10816; recomputed_prefix_tokens=3243,Runtime execution evidence is too weak to confirm worker-side execution details.,insufficient_evidence,,,,120105.719
execution,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ### Step-by-Step Implementation Plan 1. **Understand the Repository Structure:** - The repositor...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,,,,120105.719
patch_generation,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observation for this request was not found.,frontend_event_found=False; worker_observation_found=False; request_id=agentbench-nodebb_20260527_131235::patch_generation::0; worker_id=-,"Agent request was recorded, but frontend routing evidence is missing.",insufficient_evidence,,,,51450.812
patch_generation,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,No tool parser observation was found in frontend runtime logs.,tool_parser_observed=False; parsers=-; tool_call_count=40,"Tool-capable execution was expected, but runtime parser evidence is missing.",insufficient_evidence,,,,51450.812
patch_generation,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: grep, ls.","Runtime returned tool results for: grep, ls.","tool_call_count=40; tool_calls=grep, ls; tool_results=grep, ls",Agent tool-use decisions aligned with runtime tool execution.,agreed,,,,51450.812
patch_generation,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker activity was not observed.,prefill_seen=False; decode_seen=False; cached_token_count=10816; recomputed_prefix_tokens=219,Runtime execution evidence is too weak to confirm worker-side execution details.,insufficient_evidence,,,,51450.812
patch_generation,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ### Step-by-Step Implementation Plan 1. **Understand the Repository Structure:** - The repositor...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,,,,51450.812
review,request_dispatch,deepagents_app,frontend_dynamo,Sent one baseline model request for the task.,Frontend observation for this request was not found.,frontend_event_found=False; worker_observation_found=False; request_id=agentbench-nodebb_20260527_131235::review::0; worker_id=-,"Agent request was recorded, but frontend routing evidence is missing.",insufficient_evidence,,,,30244.833
review,tool_availability,deepagents_app,frontend_dynamo,Expected a tool-capable execution path for coding work.,No tool parser observation was found in frontend runtime logs.,tool_parser_observed=False; parsers=-; tool_call_count=40,"Tool-capable execution was expected, but runtime parser evidence is missing.",insufficient_evidence,,,,30244.833
review,tool_use,deepagents_app,frontend_dynamo,"Chose tool calls: grep, ls.","Runtime returned tool results for: grep, ls.","tool_call_count=40; tool_calls=grep, ls; tool_results=grep, ls",Agent tool-use decisions aligned with runtime tool execution.,agreed,,,,30244.833
review,runtime_execution,deepagents_app,sglang_worker,Expected the request to execute on a routed worker.,Worker activity was not observed.,prefill_seen=False; decode_seen=False; cached_token_count=8128; recomputed_prefix_tokens=4033,Runtime execution evidence is too weak to confirm worker-side execution details.,insufficient_evidence,,,,30244.833
review,stop_behavior,deepagents_app,frontend_dynamo/sglang_worker,Produced a final response and ended the run.,Run ended with finish_reason=stop.,finish_reason=stop; response_preview=# Phased SWE-bench Agent Run ## planning ### Step-by-Step Implementation Plan 1. **Understand the Repository Structure:** - The repositor...,Agent stopped in a way that is consistent with runtime/tool outcomes.,agreed,,,,30244.833
