run_id,task_label,instance_id_short,hint_profile,phase,phase_request_index,subrequest_index,ttft_ms,cache_hit,cached_token_count,recomputed_prefix_tokens,cache_reuse_ratio,prompt_tokens,completion_tokens,transfer_request_id_matched,transfer_time_window_matched,host_to_device_kv_mb,device_to_host_kv_mb,transfer_cuda_sync_ms,worker_runtime_json_matched,patch_nonempty,source_level
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,0,,,True,8640,1775,0.8295727316370619,10415,80,False,,,,,,False,phase_fallback
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,1,,,True,8640,1880,0.8212927756653993,10520,80,False,,,,,,False,phase_fallback
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,2,,,True,8704,1909,0.8201262602468671,10613,80,False,,,,,,False,phase_fallback
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,patch_generation,0,,,True,11328,887,0.9273843634875153,12215,10,False,,,,,,False,phase_fallback
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,planning,0,,,True,8640,1274,0.871494855759532,9914,484,False,,,,,,False,phase_fallback
agentbench-20260602_193924,qutebrowser/qutebrowser,c580ebf0,high-reuse,review,0,,,True,10560,559,0.9497256947567227,11119,855,False,,,,,,False,phase_fallback
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,execution,0,,,True,10560,410,0.9626253418413856,10970,128,False,,,,,,False,phase_fallback
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,execution,1,,,True,8768,2354,0.7883474195288617,11122,128,False,,,,,,False,phase_fallback
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,execution,2,,,True,8768,2494,0.7785473272953294,11262,128,False,,,,,,False,phase_fallback
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,patch_generation,0,,,True,9600,1244,0.8852821836960532,10844,8,False,,,,,,False,phase_fallback
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,planning,0,,,True,10240,209,0.9799980859412384,10449,504,False,,,,,,False,phase_fallback
agentbench-20260602_195404,NodeBB/NodeBB,04998908,high-reuse,review,0,,,True,9664,1183,0.8909375864294274,10847,6,False,,,,,,False,phase_fallback
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,0,,,True,8640,1325,0.8670346211741093,9965,128,False,,,,,,False,phase_fallback
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,1,,,True,8640,1478,0.8539237003360348,10118,72,False,,,,,,False,phase_fallback
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,2,,,True,8768,1435,0.8593550916397138,10203,72,False,,,,,,False,phase_fallback
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,patch_generation,0,,,True,10432,731,0.9345158111618741,11163,8,False,,,,,,False,phase_fallback
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,planning,0,,,True,8640,1066,0.8901710282299609,9706,242,False,,,,,,False,phase_fallback
agentbench-20260602_195450,qutebrowser/qutebrowser,f91ace96,high-reuse,review,0,,,True,10496,671,0.9399122414256291,11167,6,False,,,,,,False,phase_fallback
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,0,,,True,10560,141,0.9868236613400617,10701,31,False,,,,,,False,phase_fallback
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,1,,,True,10624,1224,0.8966914247130318,11848,1274,False,,,,,,False,phase_fallback
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,2,,,True,11520,1179,0.9071580439404677,12699,1376,False,,,,,,False,phase_fallback
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,patch_generation,0,,,True,8576,3124,0.732991452991453,11700,1408,False,,,,,,False,phase_fallback
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,planning,0,,,True,8640,1547,0.848139786001767,10187,329,False,,,,,,False,phase_fallback
agentbench-20260602_195524,NodeBB/NodeBB,51d8f3b1,high-reuse,review,0,,,True,14400,533,0.9643072390008706,14933,140,False,,,,,,False,phase_fallback
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,0,,,True,8640,1775,0.8295727316370619,10415,80,False,,,,,,False,phase_fallback
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,1,,,True,8640,1880,0.8212927756653993,10520,80,False,,,,,,False,phase_fallback
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,2,,,True,8704,1909,0.8201262602468671,10613,80,False,,,,,,False,phase_fallback
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,patch_generation,0,,,True,11328,887,0.9273843634875153,12215,10,False,,,,,,False,phase_fallback
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,planning,0,,,True,8640,1274,0.871494855759532,9914,484,False,,,,,,False,phase_fallback
agentbench-20260602_195837,qutebrowser/qutebrowser,c580ebf0,high-reuse,review,0,,,True,10560,559,0.9497256947567227,11119,855,False,,,,,,False,phase_fallback
agentbench-20260603_003009,NodeBB/NodeBB,04998908,high-reuse,execution,0,,1023.576,True,12096,1140,0.9138712601994561,13236,24,False,,,,,False,True,phase_fallback
agentbench-20260603_003009,NodeBB/NodeBB,04998908,high-reuse,execution,1,,567.141,True,12288,2652,0.8224899598393575,14940,45,False,,,,,False,True,phase_fallback
agentbench-20260603_003009,NodeBB/NodeBB,04998908,high-reuse,patch_generation,0,,1487.044,True,12096,0,1.0,9371,99,False,,,,,False,True,phase_fallback
agentbench-20260603_003009,NodeBB/NodeBB,04998908,high-reuse,planning,0,,8735.577,False,0,10449,0.0,10449,431,False,,,,,False,True,phase_fallback
agentbench-20260603_003009,NodeBB/NodeBB,04998908,high-reuse,review,0,,2069.804,True,9216,107,0.9885230076155744,9323,90,False,,,,,False,True,phase_fallback
agentbench-20260603_003113,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,0,,1201.818,True,8640,1385,0.8618453865336658,10025,154,False,,,,,False,False,phase_fallback
agentbench-20260603_003113,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,1,,1500.076,True,8512,1692,0.8341826734613876,10204,99,False,,,,,False,False,phase_fallback
agentbench-20260603_003113,qutebrowser/qutebrowser,f91ace96,high-reuse,execution,2,,852.266,True,8768,1548,0.8499418379216751,10316,99,False,,,,,False,False,phase_fallback
agentbench-20260603_003113,qutebrowser/qutebrowser,f91ace96,high-reuse,patch_generation,0,,1321.297,True,9280,1349,0.8730830746072067,10629,8,False,,,,,False,False,phase_fallback
agentbench-20260603_003113,qutebrowser/qutebrowser,f91ace96,high-reuse,planning,0,,541.546,True,8640,1066,0.8901710282299609,9706,302,False,,,,,False,False,phase_fallback
agentbench-20260603_003113,qutebrowser/qutebrowser,f91ace96,high-reuse,review,0,,1258.564,True,10624,685,0.9394287735431956,11309,6,False,,,,,False,False,phase_fallback
agentbench-20260603_003149,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,0,,1622.937,True,10688,102,0.9905468025949954,10790,33,False,,,,,False,True,phase_fallback
agentbench-20260603_003149,NodeBB/NodeBB,51d8f3b1,high-reuse,execution,1,,994.031,True,10688,3252,0.7667144906743185,13940,84,False,,,,,False,True,phase_fallback
agentbench-20260603_003149,NodeBB/NodeBB,51d8f3b1,high-reuse,patch_generation,0,,1759.662,True,9152,178,0.9809217577706324,9330,6,False,,,,,False,True,phase_fallback
agentbench-20260603_003149,NodeBB/NodeBB,51d8f3b1,high-reuse,planning,0,,782.86,True,8640,1547,0.848139786001767,10187,418,False,,,,,False,True,phase_fallback
agentbench-20260603_003149,NodeBB/NodeBB,51d8f3b1,high-reuse,review,0,,1702.321,True,10688,0,1.0,9334,6,False,,,,,False,True,phase_fallback
agentbench-20260603_003318,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,0,,922.7070000000001,True,8640,2060,0.8074766355140187,10700,1332,False,,,,,False,False,phase_fallback
agentbench-20260603_003318,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,1,,,True,8640,2479,0.7770482957100459,11119,1407,False,,,,,False,False,phase_fallback
agentbench-20260603_003318,qutebrowser/qutebrowser,c580ebf0,high-reuse,execution,2,,1780.144,True,9024,2502,0.7829255596043727,11526,2048,False,,,,,False,False,phase_fallback
agentbench-20260603_003318,qutebrowser/qutebrowser,c580ebf0,high-reuse,patch_generation,0,,,True,14208,682,0.9541974479516454,14890,1381,False,,,,,False,False,phase_fallback
agentbench-20260603_003318,qutebrowser/qutebrowser,c580ebf0,high-reuse,planning,0,,982.458,True,8640,1274,0.871494855759532,9914,769,False,,,,,False,False,phase_fallback
agentbench-20260603_003318,qutebrowser/qutebrowser,c580ebf0,high-reuse,review,0,,460.672,True,15552,158,0.9899427116486315,15710,255,False,,,,,False,False,phase_fallback
agentbench-20260603_003750,ansible/ansible,f327e65d,high-reuse,execution,0,,1418.968,True,9472,47,0.9950625065658157,9519,108,False,,,,,False,False,phase_fallback
agentbench-20260603_003750,ansible/ansible,f327e65d,high-reuse,execution,1,,1354.529,True,9920,0,1.0,9651,95,False,,,,,False,False,phase_fallback
agentbench-20260603_003750,ansible/ansible,f327e65d,high-reuse,execution,2,,904.496,True,8768,991,0.8984527103186802,9759,95,False,,,,,False,False,phase_fallback
agentbench-20260603_003750,ansible/ansible,f327e65d,high-reuse,patch_generation,0,,1330.323,True,8960,116,0.9872190392243279,9076,8,False,,,,,False,False,phase_fallback
agentbench-20260603_003750,ansible/ansible,f327e65d,high-reuse,planning,0,,1539.2,True,9920,510,0.9511025886864813,10430,6,False,,,,,False,False,phase_fallback
